iter	Passed	Remaining
245	676	2073
246	677	2066
247	680	2061
248	684	2064
249	686	2058
250	687	2052
251	689	2047
252	691	2042
253	693	2036
254	695	2031
255	698	2029
256	700	2024
257	702	2019
258	704	2014
259	705	2008
260	707	2002
261	709	1999
262	713	1998
263	715	1993
264	716	1988
265	719	1985
266	720	1979
267	722	1972
268	725	1971
269	728	1968
270	729	1963
271	732	1959
272	734	1955
273	736	1950
274	737	1945
275	740	1941
276	742	1938
277	744	1934
278	746	1929
279	748	1923
280	749	1917
281	751	1912
282	752	1906
283	756	1908
284	759	1904
285	760	1899
286	762	1895
287	764	1890
288	766	1884
289	782	1916
290	784	1912
291	786	1907
292	789	1904
293	791	1899
294	792	1894
295	794	1889
296	796	1884
297	797	1879
298	800	1875
299	802	1871
300	804	1867
301	806	1862
302	807	1858
303	810	1854
304	812	1851
305	814	1846
306	817	1844
307	819	1841
308	821	1837
309	823	1832
310	824	1827
311	826	1823
312	829	1820
313	831	1816
314	833	1812
315	835	1808
316	837	1804
317	838	1799
318	840	1794
319	842	1790
320	846	1790
321	848	1786
322	850	1782
323	851	1777
324	853	1772
325	855	1768
326	856	1763
327	858	1759
328	860	1755
329	863	1752
330	864	1748
331	866	1743
332	869	1740
333	870	1736
334	872	1732
335	876	1731
336	878	1727
337	880	1724
338	882	1721
339	884	1716
340	886	1712
341	888	1709
342	890	1705
343	892	1701
344	894	1697
345	895	1692
346	897	1688
347	899	1684
348	900	1680
349	902	1675
350	903	1671
351	905	1666
352	907	1662
353	909	1659
354	911	1655
355	912	1651
356	914	1646
357	915	1642
358	917	1637
359	921	1638
360	923	1634
361	925	1631
362	927	1627
363	929	1624
364	931	1621
365	933	1617
366	935	1613
367	937	1610
368	939	1606
369	940	1601
370	942	1598
371	944	1593
372	945	1589
373	947	1585
374	948	1581
375	950	1578
376	953	1575
377	955	1572
378	957	1568
379	958	1564
380	960	1560
381	961	1555
382	963	1551
383	965	1549
384	967	1545
385	970	1543
386	972	1539
387	973	1535
388	975	1531
389	976	1527
390	978	1524
391	980	1520
392	982	1517
393	983	1513
394	987	1512
395	988	1508
396	990	1504
397	992	1501
398	994	1497
399	996	1494
400	997	1490
401	1000	1487
402	1002	1484
403	1004	1481
404	1006	1479
405	1008	1475
406	1010	1472
407	1012	1468
408	1014	1465
409	1016	1462
410	1018	1459
411	1019	1455
412	1021	1452
413	1023	1449
414	1025	1446
415	1028	1443
416	1030	1440
417	1032	1437
418	1033	1433
419	1035	1429
420	1038	1428
421	1041	1426
422	1043	1422
423	1045	1419
424	1046	1416
425	1048	1412
426	1049	1408
427	1051	1405
428	1053	1402
429	1056	1400
430	1058	1397
431	1060	1394
432	1062	1391
433	1063	1387
434	1065	1383
435	1068	1382
436	1071	1379
437	1072	1376
438	1074	1373
439	1076	1370
440	1078	1366
441	1079	1363
442	1081	1359
443	1083	1357
444	1086	1354
445	1088	1352
446	1090	1348
447	1091	1345
